ZIP,state_name,lat_avg,lng_avg,count_qualified,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_total,kw_total,yearly_sunlight_kwh_total,carbon_offset_metric_tons,existing_installs_count
20902,Maryland,39.04112026,-77.04692159,7371,64.81139541,10252,98464,58417,60448,98716,326297,81574.25,9.61E+07,61080.6025,302
20903,Maryland,39.01556112,-76.98319637,1601,64.87034036,3191,24705,15331,13701,63326,120254,30063.5,3.57E+07,22706.89768,70
20904,Maryland,39.06781393,-76.9794516,8149,76.58834586,22236,162484,101521,98474,231999,616714,154178.5,1.85E+08,117788.375,357
20905,Maryland,39.10567993,-76.99019548,2988,78.26086957,3490,51562,33573,30878,18554,138057,34514.25,4.09E+07,26001.33013,138
20906,Maryland,39.07892761,-77.05987388,7812,74.8060902,8283,112948,77554,81477,128200,408462,102115.5,1.21E+08,77090.50601,251
20910,Maryland,39.00184261,-77.03363346,2117,57.07737935,1492,29396,13179,14844,89710,148621,37155.25,4.46E+07,28311.09482,76
20912,Maryland,38.98164156,-77.00119602,403,61.9047619,227,4663,1999,2410,10335,19634,4908.5,5903692.117,3751.563921,7
21012,Maryland,39.04795771,-76.49416999,1915,66.91125087,3163,28171,17614,18943,14566,82457,20614.25,2.43E+07,15446.82649,5
21022,Maryland,39.40259273,-76.67136839,6,50,0,132,23,6,453,614,153.5,184544.7466,117.2709212,0
21032,Maryland,39.04539785,-76.59575529,502,30.7786634,960,8195,4410,4109,5991,23665,5916.25,6892198.774,4379.720985,2
21042,Maryland,39.27483186,-76.86773229,6445,79.72538347,8230,117852,82070,78941,64117,351210,87802.5,1.04E+08,66020.58227,0
21043,Maryland,39.25261996,-76.79973426,9917,85.71305099,13541,177821,117194,123048,107822,539426,134856.5,1.63E+08,103271.0528,0
21044,Maryland,39.21211339,-76.88284743,1069,74.03047091,3499,18838,10546,12100,49103,94086,23521.5,2.80E+07,17795.52598,0
21045,Maryland,39.20437088,-76.82790775,6627,64.62213554,11179,103813,62265,63264,297666,538187,134546.75,1.62E+08,102747.4713,0
21046,Maryland,39.17249795,-76.85101386,1985,72.97794118,5233,32925,20495,23560,406219,488432,122108,1.49E+08,94566.81416,0
21052,Maryland,39.20515878,-76.44531719,177,86.34146341,378,2123,2357,1775,2287,8920,2230,2664392.562,1693.11658,1
21054,Maryland,39.03815832,-76.67714748,999,70.95170455,3192,19835,9354,8490,15205,56076,14019,1.68E+07,10650.5152,1
21056,Maryland,39.0728349,-76.43080363,115,60.84656085,96,1760,1055,1255,1002,5168,1292,1514930.684,962.6788093,0
21057,Maryland,39.45448031,-76.51056582,387,59.90712074,1200,8164,4817,3014,1702,18897,4724.25,5519244.815,3507.262796,4
21060,Maryland,39.16264578,-76.5891146,8450,79.82240695,26305,105692,84128,84622,326912,627659,156914.75,1.90E+08,120513.5774,15
21061,Maryland,39.16074749,-76.62951939,11430,82.34870317,45009,167191,112370,120864,436899,882333,220583.25,2.67E+08,169416.7826,21
21075,Maryland,39.19923745,-76.75800615,6704,87.37130197,12849,103679,68682,79027,553332,817569,204392.25,2.50E+08,158901.9734,58
21076,Maryland,39.1591474,-76.72289644,3888,85.41300527,5857,61390,36853,42090,635848,782038,195509.5,2.40E+08,152264.0564,14
21077,Maryland,39.15537681,-76.69703584,186,78.48101266,351,1606,1882,1499,24530,29868,7467,9162364.33,5822.321823,0
21087,Maryland,39.44991638,-76.41321594,585,76.27118644,1808,14072,8031,6679,1637,32227,8056.75,9561882.987,6076.200202,4
21090,Maryland,39.2087676,-76.65820795,3956,95.46332046,11245,61210,44703,43374,280885,441417,110354.25,1.35E+08,85655.98387,39
21093,Maryland,39.43691003,-76.63673739,7369,82.51035718,15222,139857,92646,94510,189735,531970,132992.5,1.59E+08,101170.9008,41
