2. TRIFD,3. FRS ID,30. CHEMICAL,33. CLEAN AIR ACT CHEMICAL,37. CARCINOGEN,40. 5.1 - FUGITIVE AIR,42. 5.3 - WATER,54. ON-SITE RELEASE TOTAL
21502SWRRR11600,110000551055,MERCURY  and MERCURY COMPOUNDS,YES,NO,0.01,0.04,0.15
21502SWRRR11600,110000551055,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,67,0,12651
45144DYTNP745US,110070135391,LEAD COMPOUNDS,YES,NO,0,6,14216
96950CMMNWCHALA,110055500186,ZINC COMPOUNDS,NO,NO,0,0,0.14
79108STHWSNLAKE,110042010999,COPPER COMPOUNDS,NO,NO,11.3,0,975.7
21502SWRRR11600,110000551055,AMMONIA,NO,NO,201,0,1699
78012SNMGL6200F,110000464426,VANADIUM COMPOUNDS,NO,NO,0.6,0,101265.4
24534CLVRPRTE92,110007008175,N-HEXANE,YES,NO,0,0,0
61327LLNVCRR1XX,110006166139,BARIUM COMPOUNDS,NO,NO,5,521.527,338328.653
51101GRGNL11512,110001323318,AMMONIA,NO,NO,0,0,3877
47250CLFTY1335C,110000402314,VANADIUM COMPOUNDS,NO,NO,0,0,154514
47250CLFTY1335C,110000402314,ZINC COMPOUNDS,NO,NO,1,413.6,99318.6
2732WDKNRG24ERB,110025240996,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,25
33873VNDLH2394V,110017411718,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,131,0,159.7
53901CLMBNW8385,110000420385,HYDROGEN FLUORIDE,YES,NO,0,0,6922
71052CLCCR963PO,110000450155,CHLORINE,YES,NO,21,0,21
28461CGNTR1281C,110043787783,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,NO,0.82,7.96,169.78
41045KNTCKUS42P,110000874224,MERCURY COMPOUNDS,YES,NO,0,6.4,556.2
96915GMPWR322CA,110007501499,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,25.31,0,26.12
55749HBBNG1832S,110021307897,LEAD  and LEAD COMPOUNDS,YES,NO,0.053,0.0105,49.3635
21869VNNPWCHAPE,110000585260,"BENZO(G,H,I)PERYLENE",YES,NO,0,0,0.2
33404RVRPW20030,110000363963,AMMONIA,NO,NO,0,5,61727
53901CLMBNW8385,110000420385,MANGANESE COMPOUNDS,YES,NO,50,0,19198
15944CNMGHRTE20,110000538801,MANGANESE COMPOUNDS,YES,NO,6,4062,1210964
90704PBBLY1PEBB,110002420425,PROPYLENE,NO,NO,221,0,248
48166DTRTD6400N,110000700812,LEAD,YES,YES,2.14,0,3569.84
85936CRNDG7MINE,110017431242,ZINC COMPOUNDS,NO,NO,6,0,6972
85936CRNDG7MINE,110017431242,HYDROGEN FLUORIDE,YES,NO,0,0,5806
75691MRTNL8850F,110043787220,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,5.9
89438NRTHVI80EX,110000495508,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,NO,32.9,0,28561.3
52761MSCTN1700I,110000415827,CHLORINE,YES,NO,0,0,0
81639PBLCS12795,110012355281,ZINC COMPOUNDS,NO,NO,1.4,0,12271.4
89438NRTHVI80EX,110000495508,MANGANESE COMPOUNDS,YES,NO,0.1,0,51374.6
71447CLCCR275RO,110000450627,MANGANESE COMPOUNDS,YES,NO,4,561,7053
17931WHLBRMOREA,110014012157,MANGANESE  and MANGANESE COMPOUNDS,YES,NO,0,0,0.8
42519CPRPW1247S,110041007166,AMMONIA,NO,NO,170,21,191
45144DYTNP14869,110000591841,"BENZO(G,H,I)PERYLENE",YES,NO,0,0,0.05
45144DYTNP14869,110000591841,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,NO,1,32,19387
49634TSFLR700ME,110056958225,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,2891
75691MRTNL8850F,110043787220,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,NO,1,1,60287
31046SCHRR10986,110007356066,BERYLLIUM COMPOUNDS,YES,YES,0,0,8718
9970WGLDNV119HH,110064086509,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,830
48901LNSNG601IS,110000408531,MERCURY  and MERCURY COMPOUNDS,YES,NO,0,0.2,3.38
